;,CAHP 2017 CAHP Zone Group,,
;,CAHP 2017 Zone Group,,
;,Last modified:,,4/24/2017 - EW Created table
;,,,
;,,,
;,Source Data:,,Eliot Williams (TRC)
;,,,
;,Mod history:,,4/24/2017 - EW -created table
;,,,
;,Independents:,,
;,,1,CA Climate Zone (1-16)
;,,,
,TABLE CAHP2017ZoneGroup,,
,,ClimateZone,ZoneGroup
,,1,Inland
,,2,Inland
,,3,Coastal 
,,4,Coastal 
,,5,Coastal 
,,6,Coastal 
,,7,Coastal 
,,8,Inland
,,9,Inland
,,10,Inland
,,11,Inland
,,12,Inland
,,13,Inland
,,14,Inland
,,15,Inland
,,16,Coastal 
,,*,0
,ENDTABLE,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
