;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,
;,Climate Zone-based Design Day (autosizing and hourly reports) defaults,,,,,,,,,,
;,Last modified:,,,2/20/22 - BAW - revisions to HtgDesign temperatures and DD1 dates for 2022 analysis (related to cooling autosizing improvements),,,,,,,
;,,,,,,,,,,,
;,Source Data:,,,"Bruce Wilcox - 1/4/2013, 6/26/19 & 2/20/22",,,,,,,
;,,,,,,,,,,,
;,Mod history:,,,1/3/2013 - SAC - created initial table,,,,,,,
;,,,,1/4/2013 - BAW - added the data for the remaining zones,,,,,,,
;,,,,1/18/2014 - mjb - added Ufactor and SHGC for Alteration Std Design,,,,,,,
;,,,,7/11/2014 - mjb - added Skylt Ufactor and SHGC for Alteration Std Design,,,,,,,
;,,,,11/17/14 - mjb - added Ceiling and Floor Std Design Insulation Rval,,,,,,,
;,,,,11/22/14 - SAC - added StdMassExtWallCons & StdMassUndWallCons,,,,,,,
;,,,,1/13/15 - mjb - removed dependents no longer used here - see CAClimateZoneCodeBaselines,,,,,,,
;,,,,6/26/19 - SAC - added new first independent WeatherFileSet and incorporated 2022 STYP20 weather data from BAW,,,,,,,
;,,,,8/10/20 - SAC - updated 2022 CZ12 CD1 date from Jun 08 to Jun 29 (per request from BAW via e-mail 8/5/20),,,,,,,
;,,,,,,,,,,,
;,Independents:,,,,,,,,,,
;,,,1,WeatherFileSet:  2220 (2022 STYP20 TMY weather data) vs. default (from 2013-19 stds),,,,,,,
;,,,2,CA Climate Zone (1-16),,,,,,,
;,,,,,,,,,,,
;,Dependents:,,,,,,,,,,
;,,,1,HtgDesign - Heating Design Temperature (°F),,,,,,autosizing,
;,,,2,DD1 - Cooling DD1 Month & Day,,,,,,autosizing,
;,,,3,CD1 - Coldest Day CD1 Month & Day,,,,,,reporting,
;,,,4,HD1 - Hottest Day HD1 Month & Day,,,,,,reporting,
;,,,,,,,,,,,
;,,,, (autosizing),, (reporting),,,,,
;,,,,Heating,Cooling,Coldest,Hottest,,,,
;,,,,Design,DD1,CD1,HD1,,,,
;,,,,(°F),Mo Da,Mo Da,Month,,,,
,TABLE T24RClimateZoneDesignDay,,,,,,,,,,
,,WeatherFileSet,ClimateZone,HtgDesign,DD1,CD1,HD1,,Mon,Day,
,,2220,1,33.6, Oct 14, Aug 28, Jan 02,;,Oct,14,based on 2022 code STYP20 TMY weather data (from BAW 6/26/19)
,,2220,2,31.5, Jun 07, Aug 28, Dec 04,;,Jun,07,
,,2220,3,39.2, Sep 17, Oct 02, Jan 04,;,Sep,17,
,,2220,4,38.3, Aug 15, Aug 28, Dec 20,;,Aug,15,
,,2220,5,33.3, Aug 29, Oct 01, Jan 24,;,Aug,29,
,,2220,6,43.9, Oct 02, Oct 17, Dec 05,;,Oct,02,
,,2220,7,47.2, Oct 26, Oct 17, Feb 13,;,Oct,26,
,,2220,8,42.8, Aug 07, Oct 01, Dec 05,;,Aug,07,
,,2220,9,41.3, Aug 14, Oct 01, Dec 05,;,Aug,14,
,,2220,10,38.9, Jul 02, Oct 01, Feb 14,;,Jul,02,
,,2220,11,33.3, Jul 04, Jun 08, Dec 25,;,Jul,04,
,,2220,12,34, Jul 02, Jun 29, Dec 25,;,Jul,02,
,,2220,13,34.8, Aug 12, Jun 30, Dec 23,;,Aug,12,
,,2220,14,28, Aug 14, Jun 30, Jan 03,;,Aug,14,
,,2220,15,43.9, Jul 08, Jun 29, Dec 05,;,Jul,08,
,,2220,16,23.6, Jul 03, Aug 15, Jan 03,;,Jul,03,
,,*,1,33, Jul 27, Sep 18, Feb 09,;,Data used in 2013-19 code analysis,,
,,*,2,29, Jun 30, Jul 07, Dec 04,;,,,
,,*,3,37, Sep 23, Jul 09, Jan 04,;,,,
,,*,4,36, Jul 31, Sep 02, Nov 29,;,,,
,,*,5,33, Oct 06, Oct 05, Dec 03,;,,,
,,*,6,39, Jul 15, Sep 01, Nov 30,;,,,
,,*,7,44, Sep 22, Sep 01, Nov 30,;,,,
,,*,8,37, Sep 02, Sep 01, Dec 01,;,,,
,,*,9,36, Aug 07, Sep 01, Dec 01,;,,,
,,*,10,35, Sep 24, Sep 01, Nov 30,;,,,
,,*,11,21, Jul 01, Jul 10, Jan 03,;,,,
,,*,12,37, Jun 30, Jul 10, Dec 03,;,,,
,,*,13,30, Jul 15, Jul 10, Dec 04,;,,,
,,*,14,24, Jul 23, Jul 09, Dec 01,;,,,
,,*,15,34, Aug 11, Jul 12, Nov 30,;,,,
,,*,16,24, Aug 27, Jul 10, Jan 03,;,,,
,ENDTABLE,,,,,,,,,,
