;,CEC Title-24 Residential Compliance Ruleset   ,,,,
;,Solar Thermal Collector Count Estimation table,,,,
;,Source Data:,,Chip Barnaby 1/28/2020,,
;,Created:,,1/28/20 - SAC,,
;,Last modified:,,05/04/21 - SAC - added hotel/motel GuestRm column for use in Com,,
;,Mod history:,,,,
;,,,,,
;,,,,,
;,CollectorCount  =  Const  +  ( Dwell  *  #DwellingUnitsServed )  +  ( Bedrm * #BedroomsServed )  +  ( GuestRm * #HtlMtlGuestRmsServed ),,,,
TABLE SolarCollectorCountEst,,,,,
,CZ,Const,Dwell,Bedrm,GuestRm
,1,0,0.1154,0.0288,0.0648
,2,0,0.0772,0.0193,0.0420
,3,0,0.0803,0.0201,0.0445
,4,0,0.0711,0.0178,0.0392
,5,0,0.0729,0.0182,0.0399
,6,0,0.0690,0.0172,0.0392
,7,0,0.0663,0.0166,0.0373
,8,0,0.0650,0.0163,0.0366
,9,0,0.0630,0.0157,0.0353
,10,0,0.1112,0.0278,0.0668
,11,0,0.1226,0.0307,0.0724
,12,0,0.1353,0.0338,0.0806
,13,0,0.1292,0.0323,0.0762
,14,0,0.1058,0.0264,0.0601
,15,0,0.0806,0.0202,0.0478
,16,0,0.1453,0.0363,0.0869
ENDTABLE,,,,,
