;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,
;,Community Solar Results,,,,,,,,,
;,,,,,,,,,,
;,Last modified:,,06/01/22 - SAC - updated 2022 look-up values w/ latest 2022 kW multipliers,,,,,,,
;,,,,,,,,,,
;,Created:,,7/16/20 - SAC,,,,,,,
;,Source Data:,,CSE simulation results of 1 kW PV w/ code vintage multipliers applied,,,,,,,
;,,,,,,,,,,
;,Mod history:,,05/25/22 - SAC - added newly calculated SMUD Community Solar results for use in 2022 analysis,,,,,,,
;,,,,,,,,,,
;,Independent(s):,,,,,,,,,
;,,1,Title-24 code vintage,,,,,,,
;,,2,Community Solar Project ID,,,,,,,
;,,,,,,,,,,
;,Dependent(s):,,,,,,,,,
;,,1,kWh generated by 1 kW of project PV,,,,,,,
;,,2,kW electric demand,,,,,,,
;,,3,kTDV,,,,,,,
;,,4,kg of CO2 emissions,,,,,,,
;,,5,kBtu of Source Energy (EDR1),,,,,,,
;,,,,,,,,,,
;,,,,,,,,,,
,TABLE  CommunitySolar,,,,,,,,,
,,CodeBase,CSProjectID,kWh,kW,kTDV,CO2kg,SrcKBtu,,
,,2019,1,-2011.8,-0.1108,-56263,-333.12,0,;,SMUD Neighborhood SolarShares - Wildflower
,,2022,1,-2137.9,-0.0123,-47454,-99.151,-1609.6,;,SMUD Neighborhood SolarShares - Wildflower
,,*,*,0,0,0,0,0,,
,ENDTABLE,,,,,,,,,
;,,,,,,,,,,
